Day,Era,Year,Month,Region,Event ID,Event type,Description,Event title,Date display,Source 1 URL,Calendar date,City location,Original date,Source 1 name,Date certainty,Event category,Modern country,Calendar system,Coverage status,People involved,Historical entity,Significance scope,Source reliability,Target event count,Verification status,Verified event count,Historical significance score
11,CE,1970,April,North America,GHC-APR-0065,science_technology,Apollo 13 is launched as part of the Apollo Program.,Apollo 13 Launch,"April 11, 1970 CE",https://en.wikipedia.org/wiki/April_11,1970-04-11,,"April 11, 1970",Wikipedia — April 11,exact,spaceflight,United States,Gregorian,evidence-based partial coverage,,Apollo Program,regional,secondary source; page cites references,20,verified against dated source entry,6,8
12,CE,1204,April,Europe,GHC-APR-0066,military,"The Crusaders of the Fourth Crusade breached the walls of Constantinople and entered the city, which they completely occupied the following day.",Fourth Crusade captures Constantinople,"April 12, 1204 CE",https://en.wikipedia.org/wiki/April_12,1204-04-12,Constantinople,"April 12, 1204",Wikipedia — April 12,exact,Crusades,Turkey,Gregorian,evidence-based partial coverage,,Byzantine Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
12,CE,1776,April,North America,GHC-APR-0067,political,The North Carolina Provincial Congress authorized its Congressional delegation to vote for independence from Britain through the Halifax Resolves.,Halifax Resolves,"April 12, 1776 CE",https://en.wikipedia.org/wiki/April_12,1776-04-12,Halifax,"April 12, 1776",Wikipedia — April 12,exact,American Revolution,United States,Gregorian,evidence-based partial coverage,,North Carolina Provincial Congress,regional,secondary source; page cites references,20,verified against dated source entry,6,8
12,CE,1861,April,North America,GHC-APR-0068,military,"Confederate forces fired on Fort Sumter in the harbor of Charleston, South Carolina, beginning the American Civil War.",Battle of Fort Sumter,"April 12, 1861 CE",https://en.wikipedia.org/wiki/April_12,1861-04-12,Charleston,"April 12, 1861",Wikipedia — April 12,exact,American Civil War,United States,Gregorian,evidence-based partial coverage,,Confederate States of America,regional,secondary source; page cites references,20,verified against dated source entry,6,8
12,CE,1917,April,Europe,GHC-APR-0069,military,Canadian forces successfully completed the taking of Vimy Ridge from the Germans during World War I.,Canadian capture of Vimy Ridge,"April 12, 1917 CE",https://en.wikipedia.org/wiki/April_12,1917-04-12,Vimy Ridge,"April 12, 1917",Wikipedia — April 12,exact,World War I,France,Gregorian,evidence-based partial coverage,,Canadian forces,regional,secondary source; page cites references,20,verified against dated source entry,6,8
12,CE,1961,April,Global,GHC-APR-0070,exploration,Soviet cosmonaut Yuri Gagarin became the first human to travel into outer space and perform the first crewed orbital flight.,Vostok 1 orbital flight,"April 12, 1961 CE",https://en.wikipedia.org/wiki/April_12,1961-04-12,,"April 12, 1961",Wikipedia — April 12,exact,Space exploration,Russia,Gregorian,evidence-based partial coverage,Yuri Gagarin,Soviet Union,global,secondary source; page cites references,20,verified against dated source entry,6,9
12,CE,1981,April,North America,GHC-APR-0071,science_technology,"The first launch of a Space Shuttle, Columbia, took place on the STS-1 mission.",First Space Shuttle launch,"April 12, 1981 CE",https://en.wikipedia.org/wiki/April_12,1981-04-12,,"April 12, 1981",Wikipedia — April 12,exact,Spaceflight,United States,Gregorian,evidence-based partial coverage,,NASA,regional,secondary source; page cites references,20,verified against dated source entry,6,8
13,CE,1204,April,Europe,GHC-APR-0072,military,"Constantinople falls to the Crusaders of the Fourth Crusade, temporarily ending the Byzantine Empire.",Fall of Constantinople,"April 13, 1204 CE",https://en.wikipedia.org/wiki/April_13,1204-04-13,Constantinople,"April 13, 1204",Wikipedia — April 13,exact,Crusades,Turkey,Gregorian,evidence-based partial coverage,,Byzantine Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
13,CE,1699,April,Asia,GHC-APR-0073,social,"The Sikh religion is formalised as the Khalsa, the brotherhood of Warrior-Saints, by Guru Gobind Singh in northern India.",Formation of the Khalsa,"April 13, 1699 CE",https://en.wikipedia.org/wiki/April_13,1699-04-13,,"April 13, 1699",Wikipedia — April 13,exact,Religious formation,India,Gregorian,evidence-based partial coverage,Guru Gobind Singh,Sikhism,regional,secondary source; page cites references,20,verified against dated source entry,6,8
13,CE,1742,April,Europe,GHC-APR-0074,cultural,"George Frideric Handel's oratorio Messiah makes its world premiere in Dublin, Ireland.",Premiere of Messiah,"April 13, 1742 CE",https://en.wikipedia.org/wiki/April_13,1742-04-13,Dublin,"April 13, 1742",Wikipedia — April 13,exact,Music,Ireland,Gregorian,evidence-based partial coverage,George Frideric Handel,Messiah,regional,secondary source; page cites references,20,verified against dated source entry,6,8
13,CE,1919,April,Asia,GHC-APR-0075,military,"British Indian Army troops led by Brigadier-General Reginald Dyer kill approximately 379–1,000 unarmed demonstrators in Amritsar, India.",Jallianwala Bagh massacre,"April 13, 1919 CE",https://en.wikipedia.org/wiki/April_13,1919-04-13,Amritsar,"April 13, 1919",Wikipedia — April 13,exact,Massacre,India,Gregorian,evidence-based partial coverage,Reginald Dyer,British Indian Army,regional,secondary source; page cites references,20,verified against dated source entry,6,8
13,CE,1960,April,North America,GHC-APR-0076,science_technology,"The United States launches Transit 1-B, the world's first satellite navigation system.",Launch of Transit 1-B,"April 13, 1960 CE",https://en.wikipedia.org/wiki/April_13,1960-04-13,,"April 13, 1960",Wikipedia — April 13,exact,Satellite navigation,United States,Gregorian,evidence-based partial coverage,,Transit 1-B,regional,secondary source; page cites references,20,verified against dated source entry,6,8
13,CE,1970,April,Global,GHC-APR-0077,science_technology,"An oxygen tank aboard the Apollo 13 Service Module explodes, putting the crew in great danger and causing major damage to the spacecraft while en route to the Moon.",Apollo 13 oxygen-tank explosion,"April 13, 1970 CE",https://en.wikipedia.org/wiki/April_13,1970-04-13,,"April 13, 1970",Wikipedia — April 13,exact,Spaceflight accident,United States,Gregorian,evidence-based partial coverage,,Apollo 13,global,secondary source; page cites references,20,verified against dated source entry,6,9
14,CE,966,April,Europe,GHC-APR-0078,political,"Following his marriage to the Christian Doubravka of Bohemia, Mieszko I converts to Christianity, an event considered the founding of the Polish state.",Mieszko I Converts to Christianity,"April 14, 966 CE",https://en.wikipedia.org/wiki/April_14,0966-04-14,,"April 14, 966",Wikipedia — April 14,exact,Christianization and state formation,Poland,Gregorian,evidence-based partial coverage,Mieszko I; Doubravka of Bohemia,Polans,regional,secondary source; page cites references,20,verified against dated source entry,6,8
14,CE,1775,April,North America,GHC-APR-0079,social,"The Society for the Relief of Free Negroes Unlawfully Held in Bondage, the first abolition society in North America, is organized in Philadelphia.",First North American Abolition Society Organized,"April 14, 1775 CE",https://en.wikipedia.org/wiki/April_14,1775-04-14,Philadelphia,"April 14, 1775",Wikipedia — April 14,exact,Abolitionism,United States,Gregorian,evidence-based partial coverage,Benjamin Franklin; Benjamin Rush,Society for the Relief of Free Negroes Unlawfully Held in Bondage,regional,secondary source; page cites references,20,verified against dated source entry,6,8
14,CE,1849,April,Europe,GHC-APR-0080,political,Hungary declares itself independent of Austria with Lajos Kossuth as its leader.,Hungary Declares Independence,"April 14, 1849 CE",https://en.wikipedia.org/wiki/April_14,1849-04-14,,"April 14, 1849",Wikipedia — April 14,exact,National independence,Hungary,Gregorian,evidence-based partial coverage,Lajos Kossuth,Hungary,regional,secondary source; page cites references,20,verified against dated source entry,6,8
14,CE,1865,April,North America,GHC-APR-0081,political,U.S. President Abraham Lincoln is shot at Ford's Theatre by John Wilkes Booth and dies the following day.,Lincoln Shot at Ford's Theatre,"April 14, 1865 CE",https://en.wikipedia.org/wiki/April_14,1865-04-14,"Washington, D.C.","April 14, 1865",Wikipedia — April 14,exact,Assassination,United States,Gregorian,evidence-based partial coverage,Abraham Lincoln; John Wilkes Booth,United States,regional,secondary source; page cites references,20,verified against dated source entry,6,8
14,CE,1912,April,Global,GHC-APR-0082,disaster,The British passenger liner RMS Titanic hits an iceberg in the North Atlantic and begins to sink.,RMS Titanic Hits an Iceberg,"April 14, 1912 CE",https://en.wikipedia.org/wiki/April_14,1912-04-14,,"April 14, 1912",Wikipedia — April 14,exact,Maritime disaster,United Kingdom,Gregorian,evidence-based partial coverage,,RMS Titanic,global,secondary source; page cites references,20,verified against dated source entry,6,9
14,CE,2003,April,Global,GHC-APR-0083,science_technology,The Human Genome Project is completed with 99% of the human genome sequenced to an accuracy of 99.99%.,Human Genome Project Completed,"April 14, 2003 CE",https://en.wikipedia.org/wiki/April_14,2003-04-14,,"April 14, 2003",Wikipedia — April 14,exact,Genomics,,Gregorian,evidence-based partial coverage,,Human Genome Project,global,secondary source; page cites references,20,verified against dated source entry,6,9
15,CE,1450,April,Europe,GHC-APR-0084,military,"French forces attacked and nearly annihilated English forces, ending English domination in Northern France during the Hundred Years' War.",Battle of Formigny,"April 15, 1450 CE",https://en.wikipedia.org/wiki/April_15,1450-04-15,Formigny,"April 15, 1450",Wikipedia — April 15,exact,Hundred Years' War,France,Gregorian,evidence-based partial coverage,,Kingdom of France,regional,secondary source; page cites references,20,verified against dated source entry,6,8
15,CE,1755,April,Europe,GHC-APR-0085,cultural,Samuel Johnson's A Dictionary of the English Language was published in London.,Publication of A Dictionary of the English Language,"April 15, 1755 CE",https://en.wikipedia.org/wiki/April_15,1755-04-15,London,"April 15, 1755",Wikipedia — April 15,exact,Reference work,United Kingdom,Gregorian,evidence-based partial coverage,Samuel Johnson,A Dictionary of the English Language,regional,secondary source; page cites references,20,verified against dated source entry,6,8
15,CE,1817,April,North America,GHC-APR-0086,social,"Thomas Hopkins Gallaudet and Laurent Clerc founded the American School for the Deaf in Hartford, Connecticut, the first American school for deaf students.",Founding of the American School for the Deaf,"April 15, 1817 CE",https://en.wikipedia.org/wiki/April_15,1817-04-15,Hartford,"April 15, 1817",Wikipedia — April 15,exact,Education,United States,Gregorian,evidence-based partial coverage,Thomas Hopkins Gallaudet; Laurent Clerc,American School for the Deaf,regional,secondary source; page cites references,20,verified against dated source entry,6,8
15,CE,1912,April,North America,GHC-APR-0087,disaster,"RMS Titanic sank in the North Atlantic at 2:20 a.m., two hours and forty minutes after hitting an iceberg, with only 710 of 2,224 passengers and crew surviving.",Sinking of RMS Titanic,"April 15, 1912 CE",https://en.wikipedia.org/wiki/April_15,1912-04-15,,"April 15, 1912",Wikipedia — April 15,exact,Maritime disaster,,Gregorian,evidence-based partial coverage,,RMS Titanic,global,secondary source; page cites references,20,verified against dated source entry,6,9
15,CE,1945,April,Europe,GHC-APR-0088,military,Bergen-Belsen concentration camp was liberated.,Liberation of Bergen-Belsen,"April 15, 1945 CE",https://en.wikipedia.org/wiki/April_15,1945-04-15,Bergen-Belsen,"April 15, 1945",Wikipedia — April 15,exact,World War II,Germany,Gregorian,evidence-based partial coverage,,Bergen-Belsen concentration camp,regional,secondary source; page cites references,20,verified against dated source entry,6,8
15,CE,1994,April,Africa,GHC-APR-0089,economic,The Marrakesh Agreement relating to the foundation of the World Trade Organization was adopted.,Adoption of the Marrakesh Agreement,"April 15, 1994 CE",https://en.wikipedia.org/wiki/April_15,1994-04-15,Marrakesh,"April 15, 1994",Wikipedia — April 15,exact,International trade,Morocco,Gregorian,evidence-based partial coverage,,World Trade Organization,regional,secondary source; page cites references,20,verified against dated source entry,6,8
16,CE,73,April,Middle East,GHC-APR-0090,military,"Masada, a Jewish fortress, falls to the Romans after several months of siege, ending the First Jewish–Roman War.",Fall of Masada,"April 16, 73 CE",https://en.wikipedia.org/wiki/April_16,0073-04-16,Masada,"April 16, 73",Wikipedia — April 16,exact,Roman conquest,Israel,Gregorian,evidence-based partial coverage,,Roman Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
16,CE,1346,April,Europe,GHC-APR-0091,political,"Stefan Dušan, ""the Mighty"", is crowned Emperor of the Serbs at Skopje, his empire occupying much of the Balkans.",Coronation of Stefan Dušan,"April 16, 1346 CE",https://en.wikipedia.org/wiki/April_16,1346-04-16,Skopje,"April 16, 1346",Wikipedia — April 16,exact,Imperial coronation,North Macedonia,Gregorian,evidence-based partial coverage,Stefan Dušan,Serbian Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
16,CE,1746,April,Europe,GHC-APR-0092,military,"The Battle of Culloden is fought between the French-supported Jacobites and the British Hanoverian forces commanded by William Augustus, Duke of Cumberland, in Scotland.",Battle of Culloden,"April 16, 1746 CE",https://en.wikipedia.org/wiki/April_16,1746-04-16,Culloden,"April 16, 1746",Wikipedia — April 16,exact,Jacobite rising,United Kingdom,Gregorian,evidence-based partial coverage,"William Augustus, Duke of Cumberland",Kingdom of Great Britain,regional,secondary source; page cites references,20,verified against dated source entry,6,8
16,CE,1853,April,Asia,GHC-APR-0093,science_technology,"The Great Indian Peninsula Railway opens the first passenger rail in India, from Bori Bunder to Thane.",First Passenger Railway in India,"April 16, 1853 CE",https://en.wikipedia.org/wiki/April_16,1853-04-16,Bori Bunder–Thane,"April 16, 1853",Wikipedia — April 16,exact,Railway transport,India,Gregorian,evidence-based partial coverage,,Great Indian Peninsula Railway,regional,secondary source; page cites references,20,verified against dated source entry,6,8
16,CE,1943,April,Europe,GHC-APR-0094,science_technology,Albert Hofmann accidentally discovers the hallucinogenic effects of the research drug LSD.,Discovery of LSD Effects,"April 16, 1943 CE",https://en.wikipedia.org/wiki/April_16,1943-04-16,,"April 16, 1943",Wikipedia — April 16,exact,Pharmacology,Switzerland,Gregorian,evidence-based partial coverage,Albert Hofmann,,regional,secondary source; page cites references,20,verified against dated source entry,6,8
16,CE,1947,April,North America,GHC-APR-0095,disaster,"An explosion on board a freighter in port causes Texas City in the state of Texas, United States, to catch fire, killing almost 600 people.",Texas City Disaster,"April 16, 1947 CE",https://en.wikipedia.org/wiki/April_16,1947-04-16,Texas City,"April 16, 1947",Wikipedia — April 16,exact,Industrial explosion,United States,Gregorian,evidence-based partial coverage,,,regional,secondary source; page cites references,20,verified against dated source entry,6,8
17,CE,1492,April,Europe,GHC-APR-0096,exploration,Spain and Christopher Columbus sign the Capitulations of Santa Fe for his voyage to Asia to acquire spices.,Capitulations of Santa Fe,"April 17, 1492 CE",https://en.wikipedia.org/wiki/April_17,1492-04-17,Santa Fe,"April 17, 1492",Wikipedia — April 17,exact,voyage agreement,Spain,Gregorian,evidence-based partial coverage,Christopher Columbus,Spanish Crown,regional,secondary source; page cites references,20,verified against dated source entry,6,8
17,CE,1521,April,Europe,GHC-APR-0097,cultural,"The trial of Martin Luther over his teachings begins during the assembly of the Diet of Worms, and he receives a one-day stay before answering.",Trial of Martin Luther,"April 17, 1521 CE",https://en.wikipedia.org/wiki/April_17,1521-04-17,Worms,"April 17, 1521",Wikipedia — April 17,exact,religious reform,Germany,Gregorian,evidence-based partial coverage,Martin Luther,Holy Roman Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
17,CE,1861,April,North America,GHC-APR-0098,political,Virginia's secession convention votes to secede from the United States.,Virginia Secession,"April 17, 1861 CE",https://en.wikipedia.org/wiki/April_17,1861-04-17,Richmond,"April 17, 1861",Wikipedia — April 17,exact,secession,United States,Gregorian,evidence-based partial coverage,,Virginia,regional,secondary source; page cites references,20,verified against dated source entry,6,8
17,CE,1895,April,Asia,GHC-APR-0099,political,"The Treaty of Shimonoseki ends the First Sino-Japanese War and forces the Qing Empire to renounce its claims on Korea and concede Taiwan, the Penghu, and the southern portion of Fengtian province to Japan.",Treaty of Shimonoseki,"April 17, 1895 CE",https://en.wikipedia.org/wiki/April_17,1895-04-17,Shimonoseki,"April 17, 1895",Wikipedia — April 17,exact,peace treaty,China; Japan,Gregorian,evidence-based partial coverage,,Qing Empire; Empire of Japan,regional,secondary source; page cites references,20,verified against dated source entry,6,8
17,CE,1961,April,North America,GHC-APR-0100,military,A group of Cuban exiles financed and trained by the CIA lands at the Bay of Pigs in Cuba with the aim of ousting Fidel Castro.,Bay of Pigs Invasion,"April 17, 1961 CE",https://en.wikipedia.org/wiki/April_17,1961-04-17,Bay of Pigs,"April 17, 1961",Wikipedia — April 17,exact,invasion,Cuba,Gregorian,evidence-based partial coverage,Fidel Castro,Cuba,regional,secondary source; page cites references,20,verified against dated source entry,6,8
17,CE,1970,April,Global,GHC-APR-0101,science_technology,The damaged Apollo 13 spacecraft returns to Earth safely.,Apollo 13 Returns Safely,"April 17, 1970 CE",https://en.wikipedia.org/wiki/April_17,1970-04-17,,"April 17, 1970",Wikipedia — April 17,exact,spaceflight,United States,Gregorian,evidence-based partial coverage,,Apollo program,global,secondary source; page cites references,20,verified against dated source entry,6,9
18,CE,1506,April,Europe,GHC-APR-0102,cultural,The cornerstone of the current St. Peter's Basilica is laid.,St. Peter's Basilica cornerstone laid,"April 18, 1506 CE",https://en.wikipedia.org/wiki/April_18,1506-04-18,Rome,"April 18, 1506",Wikipedia — April 18,exact,Religious architecture,Vatican City,Gregorian,evidence-based partial coverage,,St. Peter's Basilica,regional,secondary source; page cites references,20,verified against dated source entry,6,8
18,CE,1521,April,Europe,GHC-APR-0103,political,"During the second day of his trial at the Diet of Worms, Martin Luther refuses to recant his teachings despite the risk of excommunication.",Martin Luther refuses to recant at Worms,"April 18, 1521 CE",https://en.wikipedia.org/wiki/April_18,1521-04-18,Worms,"April 18, 1521",Wikipedia — April 18,exact,Reformation,Germany,Gregorian,evidence-based partial coverage,Martin Luther,Diet of Worms,regional,secondary source; page cites references,20,verified against dated source entry,6,8
18,CE,1775,April,North America,GHC-APR-0104,military,"During the American Revolution, the British Army advances up the Charles River to destroy American militia supplies while Paul Revere and other riders warn the countryside.",British advance on Massachusetts militias,"April 18, 1775 CE",https://en.wikipedia.org/wiki/April_18,1775-04-18,Boston,"April 18, 1775",Wikipedia — April 18,exact,American Revolution,United States,Gregorian,evidence-based partial coverage,Paul Revere,American Revolution,regional,secondary source; page cites references,20,verified against dated source entry,6,8
18,CE,1906,April,North America,GHC-APR-0105,disaster,"A magnitude 7.9 earthquake and subsequent fire destroy much of San Francisco, California, killing more than 3,000 people.",San Francisco earthquake and fire,"April 18, 1906 CE",https://en.wikipedia.org/wiki/April_18,1906-04-18,San Francisco,"April 18, 1906",Wikipedia — April 18,exact,Earthquake,United States,Gregorian,evidence-based partial coverage,,,regional,secondary source; page cites references,20,verified against dated source entry,6,8
18,CE,1942,April,Asia,GHC-APR-0106,military,"During World War II, Tokyo, Yokohama, Kobe, and Nagoya are bombed in the Doolittle Raid on Japan.",Doolittle Raid on Japan,"April 18, 1942 CE",https://en.wikipedia.org/wiki/April_18,1942-04-18,Tokyo,"April 18, 1942",Wikipedia — April 18,exact,World War II air raid,Japan,Gregorian,evidence-based partial coverage,,Doolittle Raid,regional,secondary source; page cites references,20,verified against dated source entry,6,8
18,CE,1955,April,Asia,GHC-APR-0107,political,"Twenty-nine nations meet in Bandung, Indonesia, for the first Asian-African Conference.",Bandung Conference begins,"April 18, 1955 CE",https://en.wikipedia.org/wiki/April_18,1955-04-18,Bandung,"April 18, 1955",Wikipedia — April 18,exact,International conference,Indonesia,Gregorian,evidence-based partial coverage,,Asian-African Conference,regional,secondary source; page cites references,20,verified against dated source entry,6,8
19,CE,1775,April,North America,GHC-APR-0108,military,The American Revolutionary War begins with American minutemen and other militia defeating British forces in the Battles of Lexington and Concord.,Battles of Lexington and Concord,"April 19, 1775 CE",https://en.wikipedia.org/wiki/April_19,1775-04-19,Lexington and Concord,"April 19, 1775",Wikipedia — April 19,exact,American Revolutionary War,United States,Gregorian,evidence-based partial coverage,,American colonies; Great Britain,regional,secondary source; page cites references,20,verified against dated source entry,6,8
19,CE,1810,April,South America,GHC-APR-0109,political,"The people of Caracas remove Governor Vicente Emparán and install a junta, achieving home rule for Venezuela.",Venezuelan Home Rule,"April 19, 1810 CE",https://en.wikipedia.org/wiki/April_19,1810-04-19,Caracas,"April 19, 1810",Wikipedia — April 19,exact,Independence movement,Venezuela,Gregorian,evidence-based partial coverage,Vicente Emparán,Captaincy General of Venezuela,regional,secondary source; page cites references,20,verified against dated source entry,6,8
19,CE,1943,April,Europe,GHC-APR-0110,military,The Warsaw Ghetto Uprising begins after German troops enter the ghetto to round up the remaining Jews.,Warsaw Ghetto Uprising,"April 19, 1943 CE",https://en.wikipedia.org/wiki/April_19,1943-04-19,Warsaw,"April 19, 1943",Wikipedia — April 19,exact,World War II resistance,Poland,Gregorian,evidence-based partial coverage,,Warsaw Ghetto; German occupation forces,regional,secondary source; page cites references,20,verified against dated source entry,6,8
19,CE,1960,April,Asia,GHC-APR-0111,social,"Students in South Korea hold a nationwide pro-democracy protest against President Syngman Rhee, eventually forcing him to resign.",South Korean Pro-Democracy Protests,"April 19, 1960 CE",https://en.wikipedia.org/wiki/April_19,1960-04-19,,"April 19, 1960",Wikipedia — April 19,exact,Pro-democracy movement,South Korea,Gregorian,evidence-based partial coverage,Syngman Rhee,South Korea,regional,secondary source; page cites references,20,verified against dated source entry,6,8
19,CE,1971,April,Asia,GHC-APR-0112,science_technology,"Salyut 1, the first space station, is launched.",Launch of Salyut 1,"April 19, 1971 CE",https://en.wikipedia.org/wiki/April_19,1971-04-19,,"April 19, 1971",Wikipedia — April 19,exact,Space exploration,Russia,Gregorian,evidence-based partial coverage,,Salyut 1,regional,secondary source; page cites references,20,verified against dated source entry,6,8
19,CE,1995,April,North America,GHC-APR-0113,disaster,"The Alfred P. Murrah Federal Building in Oklahoma City is bombed, killing 168 people, including 19 children under six.",Oklahoma City Bombing,"April 19, 1995 CE",https://en.wikipedia.org/wiki/April_19,1995-04-19,Oklahoma City,"April 19, 1995",Wikipedia — April 19,exact,Terrorist attack,United States,Gregorian,evidence-based partial coverage,,Alfred P. Murrah Federal Building,regional,secondary source; page cites references,20,verified against dated source entry,6,8
20,CE,1792,April,Europe,GHC-APR-0114,political,"France declares war against the ""King of Hungary and Bohemia,"" beginning the French Revolutionary Wars.",France Declares War on Austria,"April 20, 1792 CE",https://en.wikipedia.org/wiki/April_20,1792-04-20,,"April 20, 1792",Wikipedia — April 20,exact,war declaration,France,Gregorian,evidence-based partial coverage,,Kingdom of France,regional,secondary source; page cites references,20,verified against dated source entry,6,8
20,CE,1862,April,Europe,GHC-APR-0115,science_technology,Louis Pasteur and Claude Bernard complete the experiment disproving the theory of spontaneous generation.,Pasteur and Bernard Disprove Spontaneous Generation,"April 20, 1862 CE",https://en.wikipedia.org/wiki/April_20,1862-04-20,,"April 20, 1862",Wikipedia — April 20,exact,biology,France,Gregorian,evidence-based partial coverage,Louis Pasteur; Claude Bernard,,regional,secondary source; page cites references,20,verified against dated source entry,6,8
20,CE,1898,April,North America,GHC-APR-0116,military,"U.S. President William McKinley signs a joint resolution to Congress for declaration of war against Spain, beginning the Spanish–American War.",Spanish–American War Begins,"April 20, 1898 CE",https://en.wikipedia.org/wiki/April_20,1898-04-20,,"April 20, 1898",Wikipedia — April 20,exact,war declaration,United States; Spain,Gregorian,evidence-based partial coverage,William McKinley,United States; Spain,regional,secondary source; page cites references,20,verified against dated source entry,6,8
20,CE,1946,April,Global,GHC-APR-0117,political,"The League of Nations officially dissolves, giving most of its power to the United Nations.",League of Nations Dissolves,"April 20, 1946 CE",https://en.wikipedia.org/wiki/April_20,1946-04-20,,"April 20, 1946",Wikipedia — April 20,exact,international organization,,Gregorian,evidence-based partial coverage,,League of Nations; United Nations,global,secondary source; page cites references,20,verified against dated source entry,6,9
20,CE,1972,April,Global,GHC-APR-0118,exploration,"The Apollo 16 Lunar Module Orion, commanded by John Young and piloted by Charles Duke, lands on the Moon.",Apollo 16 Lands on the Moon,"April 20, 1972 CE",https://en.wikipedia.org/wiki/April_20,1972-04-20,,"April 20, 1972",Wikipedia — April 20,exact,lunar exploration,United States,Gregorian,evidence-based partial coverage,John Young; Charles Duke,Apollo program,global,secondary source; page cites references,20,verified against dated source entry,6,9
20,CE,2008,April,Asia,GHC-APR-0119,social,"Danica Patrick wins the Indy Japan 300, becoming the first female driver in history to win an Indy car race.",Danica Patrick Wins Indy Japan 300,"April 20, 2008 CE",https://en.wikipedia.org/wiki/April_20,2008-04-20,,"April 20, 2008",Wikipedia — April 20,exact,sports,Japan,Gregorian,evidence-based partial coverage,Danica Patrick,,regional,secondary source; page cites references,20,verified against dated source entry,6,8
21,CE,1526,April,Asia,GHC-APR-0120,military,"Babur defeated and killed Ibrahim Lodi, the last ruler of the Lodi dynasty, in the First Battle of Panipat.",First Battle of Panipat,"April 21, 1526 CE",https://en.wikipedia.org/wiki/April_21,1526-04-21,Panipat,"April 21, 1526",Wikipedia — April 21,exact,battle,India,Gregorian,evidence-based partial coverage,Babur; Ibrahim Lodi,Mughal Empire,regional,secondary source; page cites references,20,verified against dated source entry,6,8
21,CE,1782,April,Asia,GHC-APR-0121,political,"King Buddha Yodfa Chulaloke founded the city of Rattanakosin, now known internationally as Bangkok, on the eastern bank of the Chao Phraya River.",Founding of Bangkok,"April 21, 1782 CE",https://en.wikipedia.org/wiki/April_21,1782-04-21,Bangkok,"April 21, 1782",Wikipedia — April 21,exact,urban foundation,Thailand,Gregorian,evidence-based partial coverage,King Buddha Yodfa Chulaloke,Kingdom of Rattanakosin,regional,secondary source; page cites references,20,verified against dated source entry,6,8
21,CE,1836,April,North America,GHC-APR-0122,military,Republic of Texas forces under Sam Houston defeated troops under Mexican General Antonio López de Santa Anna in the Battle of San Jacinto.,Battle of San Jacinto,"April 21, 1836 CE",https://en.wikipedia.org/wiki/April_21,1836-04-21,San Jacinto,"April 21, 1836",Wikipedia — April 21,exact,revolutionary battle,United States,Gregorian,evidence-based partial coverage,Sam Houston; Antonio López de Santa Anna,Republic of Texas,regional,secondary source; page cites references,20,verified against dated source entry,6,8
21,CE,1960,April,South America,GHC-APR-0123,political,"Brasília was officially inaugurated as Brazil's capital, with the Three Powers of the Republic transferred from Rio de Janeiro.",Inauguration of Brasília,"April 21, 1960 CE",https://en.wikipedia.org/wiki/April_21,1960-04-21,Brasília,"April 21, 1960",Wikipedia — April 21,exact,capital relocation,Brazil,Gregorian,evidence-based partial coverage,,Brazil,regional,secondary source; page cites references,20,verified against dated source entry,6,8
21,CE,1967,April,North America,GHC-APR-0124,disaster,"A tornado outbreak in Illinois killed over 50 people and injured more than 1,000, with Belvidere and Oak Lawn suffering major devastation.",Illinois Tornado Outbreak,"April 21, 1967 CE",https://en.wikipedia.org/wiki/April_21,1967-04-21,Belvidere; Oak Lawn,"April 21, 1967",Wikipedia — April 21,exact,tornado outbreak,United States,Gregorian,evidence-based partial coverage,,,regional,secondary source; page cites references,20,verified against dated source entry,6,8
21,CE,1972,April,Global,GHC-APR-0125,science_technology,"Astronauts John Young and Charles Duke flew Apollo 16's lunar module to the Moon's surface, completing the fifth NASA Apollo crewed lunar landing.",Apollo 16 Lunar Landing,"April 21, 1972 CE",https://en.wikipedia.org/wiki/April_21,1972-04-21,,"April 21, 1972",Wikipedia — April 21,exact,space exploration,United States,Gregorian,evidence-based partial coverage,John Young; Charles Duke,NASA Apollo Program,global,secondary source; page cites references,20,verified against dated source entry,6,9
22,CE,1500,April,South America,GHC-APR-0126,exploration,Portuguese navigator Pedro Álvares Cabral lands in Brazil.,Cabral lands in Brazil,"April 22, 1500 CE",https://en.wikipedia.org/wiki/April_22,1500-04-22,,"April 22, 1500",Wikipedia — April 22,exact,European exploration,Brazil,Gregorian,evidence-based partial coverage,Pedro Álvares Cabral,Portugal,regional,secondary source; page cites references,20,verified against dated source entry,6,8
22,CE,1809,April,Europe,GHC-APR-0127,military,The Austrian army is defeated by the First French Empire army led by Napoleon and driven over the Danube in Regensburg.,Battle of Eckmühl,"April 22, 1809 CE",https://en.wikipedia.org/wiki/April_22,1809-04-22,Regensburg,"April 22, 1809",Wikipedia — April 22,exact,Napoleonic Wars,Germany,Gregorian,evidence-based partial coverage,Napoleon,First French Empire; Austrian army,regional,secondary source; page cites references,20,verified against dated source entry,6,8
